branch,block_no,room_no,bench_no,enrollment_no
CSE,B-19,245,1,2303051050827
CSE,B-19,245,11,2303051050582
CSE,B-19,245,21,2303051050049
CSE,B-19,245,2,2303051050325
CSE,B-19,245,12,2303051050090
CSE,B-19,245,22,2303051050130
CSE,B-19,245,3,2303051050528
CSE,B-19,245,13,2303051050287
CSE,B-19,245,23,2303051050134
CSE,B-19,245,4,2303051050182
CSE,B-19,245,14,2303051050410
CSE,B-19,245,24,2303051050269
CSE,B-19,245,5,2303051050956
CSE,B-19,245,15,2303051050601
CSE,B-19,245,25,2303051050013
CSE,B-19,245,6,2303051050893
CSE,B-19,245,16,2303051050035
CSE,B-19,245,26,2303051051152
CSE,B-19,245,7,2303051050902
CSE,B-19,245,17,2303051051046
CSE,B-19,245,27,2303051050301
CSE,B-19,245,8,2303051051092
CSE,B-19,245,18,2303051051095
CSE,B-19,245,28,2403051057023
CSE,B-19,245,9,2303051051280
CSE,B-19,245,19,2303051050773
CSE,B-19,245,29,2303051050152
CSE,B-19,245,10,2303051051307
CSE,B-19,245,20,2303051051478
CSE,B-19,245,30,2303051051121
CSE,B-19,245,1,2303051050455
CSE,B-19,245,11,2303051051476
CSE,B-19,245,21,2303051050306
CSE,B-19,245,2,2303051050339
CSE,B-19,245,12,2403051057072
CSE,B-19,245,22,2403051057083
CSE,B-19,245,3,2303051050814
CSE,B-19,245,13,2303051050518
CSE,B-19,245,23,2303051050557
CSE,B-19,245,4,2303051050832
CSE,B-19,245,14,2303051051303
CSE,B-19,245,24,2303051050356
CSE,B-19,245,5,2303051051460
CSE,B-19,245,15,2303051051063
CSE,B-19,245,25,2303051050271
CSE,B-19,245,6,2303051051377
CSE,B-19,245,16,2303051051434
CSE,B-19,245,26,2303051050075
CSE,B-19,245,7,2403051057008
CSE,B-19,245,17,2203051050650
CSE,B-19,245,27,2303051050068
CSE,B-19,245,8,2303051051037
CSE,B-19,245,18,2303051050425
CSE,B-19,245,28,2303051051477
CSE,B-19,245,9,2303051051435
CSE,B-19,245,19,2303051050587
CSE,B-19,245,29,2303051050414
CSE,B-19,245,10,2303051050980
CSE,B-19,245,20,2303051050504
CSE,B-19,245,30,2303051050165
CSE,B-21,,1,2303051051169
CSE,B-21,,11,2303051050861
CSE,B-21,,21,2403051057130
CSE,B-21,,2,2303051050595
CSE,B-21,,12,2303051051056
CSE,B-21,,22,2303051051361
CSE,B-21,,3,2303051050503
CSE,B-21,,13,2303051050419
CSE,B-21,,23,2303051051328
CSE,B-21,,4,2303051050493
CSE,B-21,,14,2303051051216
CSE,B-21,,24,2303051050512
CSE,B-21,,5,2303051050589
CSE,B-21,,15,2303051051033
CSE,B-21,,25,2303051050030
CSE,B-21,,6,2303051051057
CSE,B-21,,16,2303051051355
CSE,B-21,,26,2303051050189
CSE,B-21,,7,2303051050020
CSE,B-21,,17,2303051050913
CSE,B-21,,27,2303051050283
CSE,B-21,,8,2303051050972
CSE,B-21,,18,2303051051110
CSE,B-21,,28,2303051051065
CSE,B-21,,9,2403051057042
CSE,B-21,,19,2303051051200
CSE,B-21,,29,2303051050941
CSE,B-21,,10,2303051051413
CSE,B-21,,20,2303051050769
CSE,B-21,,30,2303051051185
CSE,B-21,,1,2303051050400
CSE,B-21,,11,2303051050451
